Count,Date,Stage,ResultNote,Home,Score,Away,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes
9 === ,28 September 1958 ,Eighth-finals,Full time »,USSR,3-1,Hungary,Referee: Alfred Grill (AUT)   – Stadium: Stadion Luzhniki, Moscow (RUS) ,,,,,,,,,,,,,,,
15 === ,21 June 1964 ,Final,Full time »,Spain,2-1,USSR,Referee,not available, ,Stadium,:,Estadio Santiago Bernabéu, ,Madrid (ESP) ,,,,,,,,,
20 === ,20 June 1964 ,Third place,Full time »,Hungary,3-1,Denmark,Hungary win after extra time , ,(,aet,) ,Referee,not available, ,Stadium,:,Camp Nou, ,Barcelona (ESP) ,,,,
20 === ,17 June 1964 ,Semi-finals,Full time »,Spain,2-1,Hungary,Spain win after extra time , ,(,aet,) ,Referee,not available, ,Stadium,:,Estadio Santiago Bernabéu, ,Madrid (ESP) ,,,,
15 === ,17 June 1964 ,Semi-finals,Full time »,Denmark,0-3,USSR,Referee,not available, ,Stadium,:,Camp Nou, ,Barcelona (ESP) ,,,,,,,,,
11 === ,27 May 1964 ,Quarter-finals,Full time »,USSR,3-1,Sweden,Aggregate: 4-2, ,Referee: Arthur Holland (ENG)   – Stadium: Stadion Luzhniki, Moscow (RUS) ,,,,,,,,,,,,,
11 === ,23 May 1964 ,Quarter-finals,Full time »,Hungary,2-1,France,Aggregate: 5-2, ,Referee: Rosario Lo Bello (ITA)   – Stadium: Ferenc Puskás, Budapest (HUN) ,,,,,,,,,,,,,
9 === ,13 May 1964 ,Quarter-finals,Full time »,Sweden,1-1,USSR,Referee: James Finney (ENG)   – Stadium: Råsundastadion, Solna (SWE) ,,,,,,,,,,,,,,,
9 === ,25 April 1964 ,Quarter-finals,Full time »,France,1-3,Hungary,Referee: Cesare Jonni (ITA)   – Stadium: Olympique, Paris (FRA) ,,,,,,,,,,,,,,,
20 === ,8 April 1964 ,Quarter-finals,Full time »,Republic of Ireland,0-2,Spain,Aggregate: 1-7, ,(,agg,: 1-7) ,Referee,not available, ,Stadium,:,Dalymount Park, ,Dublin (IRL) ,,,,
15 === ,11 March 1964 ,Quarter-finals,Full time »,Spain,5-1,Republic of Ireland,Referee,not available, ,Stadium,:,Estadio Ramón Sánchez Pizjuán, ,Seville (ESP) ,,,,,,,,,
23 === ,10 December 1963 ,Quarter-finals,Full time »,Denmark,2-2,Luxembourg,Aggregate: 5-5, Denmark win on away goals, ,(,ag,, ,agg,: 5-5) ,Referee,not available, ,Stadium,:,Telia Parken, ,Copenhagen (DEN) 
15 === ,4 December 1963 ,Quarter-finals,Full time »,Luxembourg,3-3,Denmark,Referee,not available, ,Stadium,:,Stade Josy Barthel, ,Luxembourg (LUX) ,,,,,,,,,
11 === ,10 November 1963 ,Eighth-finals,Full time »,Italy,1-1,USSR,Aggregate: 1-3, ,Referee: Daniel Mellet (SUI)   – Stadium: Stadio Olimpico, Rome (ITA) ,,,,,,,,,,,,,
11 === ,3 November 1963 ,Eighth-finals,Full time »,Hungary,3-3,German Dem. Rep.,Aggregate: 5-4, ,Referee: Borge Nedelkovski (SRB)   – Stadium: Ferenc Puskás, Budapest (HUN) ,,,,,,,,,,,,,
11 === ,30 October 1963 ,Eighth-finals,Full time »,Northern Ireland,0-1,Spain,Aggregate: 1-2, ,Referee: Andries van Leeuwen (NED)   – Stadium: Windsor Park, Belfast (NIR) ,,,,,,,,,,,,,
13 === ,30 October 1963 ,Eighth-finals,Full time »,Albania,1-0,Denmark,Aggregate: 1-4, ,Referee: ,not available,  – Stadium: Stadiumi Kombëtar Qemal Stafa, Tirana (ALB) ,,,,,,,,,,,
11 === ,30 October 1963 ,Eighth-finals,Full time »,Luxembourg,2-1,Netherlands,Aggregate: 3-2, ,Referee: Marcel Bois (FRA)   – Stadium: Feijenoord Stadion, Rotterdam (NED) ,,,,,,,,,,,,,
13 === ,26 October 1963 ,Eighth-finals,Full time »,France,3-1,Bulgaria,Aggregate: 3-2, ,Referee: ,not available,  – Stadium: Parc des Princes, Paris (FRA) ,,,,,,,,,,,
9 === ,19 October 1963 ,Eighth-finals,Full time »,German Dem. Rep.,1-2,Hungary,Referee: Petr Belov (URS)   – Stadium: Walter-Ulbricht, Berlin (GER) ,,,,,,,,,,,,,,,
20 === ,13 October 1963 ,Round of 16,Full time »,Republic of Ireland,3-2,Austria,Aggregate: 3-2, ,(,agg,: 3-2) ,Referee,not available, ,Stadium,:,Dalymount Park, ,Dublin (IRL) ,,,,
14 === ,13 October 1963 ,Round of 16,Full time »,USSR,2-0,Italy,Referee,Ryszard Banasiuk (POL)  ,Stadium,:,Stadion Luzhniki, ,Moscow (RUS) ,,,,,,,,,,
11 === ,29 September 1963 ,Eighth-finals,Full time »,Bulgaria,1-0,France,Referee: ,not available,  – Stadium: Natsionalen Stadion Vasil Levski, Sofia (BUL) ,,,,,,,,,,,,,
15 === ,25 September 1963 ,Round of 16,Full time »,Austria,0-0,Republic of Ireland,Referee,not available, ,Stadium,:,Ernst-Happel-Stadion, ,Vienna (AUT) ,,,,,,,,,
11 === ,18 September 1963 ,Eighth-finals,Full time »,Sweden,3-2,Yugoslavia,Aggregate: 3-2, ,Referee: John Keith Taylor (ENG)   – Stadium: Malmö Idrottsplats, Malmo (SWE) ,,,,,,,,,,,,,
9 === ,11 September 1963 ,Eighth-finals,Full time »,Netherlands,1-1,Luxembourg,Referee: Arthur Blavier (BEL)   – Stadium: Olympisch, Amsterdam (NED) ,,,,,,,,,,,,,,,
11 === ,29 June 1963 ,Eighth-finals,Full time »,Denmark,4-0,Albania,Referee: ,not available,  – Stadium: FC København Stadium, Copenhagen (DEN) ,,,,,,,,,,,,,
9 === ,19 June 1963 ,Eighth-finals,Full time »,Yugoslavia,0-0,Sweden,Referee: Karl Kainer (AUT)   – Stadium: Stadion FK Partizan, Belgrade (SRB) ,,,,,,,,,,,,,,,
9 === ,30 May 1963 ,Eighth-finals,Full time »,Spain,1-1,Northern Ireland,Referee: Cesare Jonni (ITA)   – Stadium: Estadio de San Mamés, Bilbao (ESP) ,,,,,,,,,,,,,,,
11 === ,10 June 1968 ,Final,Replay Full time »,Italy,2-0,Yugoslavia,Referee: José Maria Ortiz De Mendibil (ESP)   – Stadium: Stadio Olimpico, Rome (ITA) ,,,,,,,,,,,,,,,
9 === ,8 June 1968 ,Final,Full time »,Italy,1-1,Yugoslavia,Referee: Gottfried Drienst (SUI)   – Stadium: Stadio Olimpico, Rome (ITA) ,,,,,,,,,,,,,,,
9 === ,8 June 1968 ,Third place,Full time »,England,2-0,USSR,Referee: Istvan Zsolt (HUN)   – Stadium: Stadio Olimpico, Rome (ITA) ,,,,,,,,,,,,,,,
11 === ,5 June 1968 ,Semi-finals,Full time »,Italy,0-0,USSR,Italy win on toss of coin , ,Referee: Kurt Tschenscher (GER)   – Stadium: Stadio San Paolo, Naples (ITA) ,,,,,,,,,,,,,
9 === ,5 June 1968 ,Semi-finals,Full time »,Yugoslavia,1-0,England,Referee: José Maria Ortiz De Mendibil (ESP)   – Stadium: Stadio Artemio Franchi, Florence (ITA) ,,,,,,,,,,,,,,,
11 === ,11 May 1968 ,Quarter-finals,Full time »,USSR,3-0,Hungary,Aggregate: 3-2, ,Referee: Kurt Tschenscher (GER)   – Stadium: Stadion Luzhniki, Moscow (RUS) ,,,,,,,,,,,,,
11 === ,8 May 1968 ,Quarter-finals,Full time »,Spain,1-2,England,Aggregate: 1-3, ,Referee: Josef Krnavek (TCH)   – Stadium: Estadio Santiago Bernabéu, Madrid (ESP) ,,,,,,,,,,,,,
