Count,Date,Stage,ResultNote,Home,Score,Away,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes
10 === ,16 June 1984 ,Group 1   ,Full time »,Denmark,5-0,Yugoslavia,Referee: Augusto Lamo Castillo (ESP)   – Stadium: Stade de Gerland, Lyon (FRA) ,,,,,,,,,,,,,,,
10 === ,14 June 1984 ,Group 2   ,Full time »,West Germany,0-0,Portugal,Referee: Romualdas Yushka (URS)   – Stadium: La Meinau, Strasbourg (FRA) ,,,,,,,,,,,,,,,
10 === ,14 June 1984 ,Group 2   ,Full time »,Romania,1-1,Spain,Referee: Alexis Ponnet (BEL)   – Stadium: Geoffroy-Guichard, Saint-Etienne (FRA) ,,,,,,,,,,,,,,,
10 === ,13 June 1984 ,Group 1   ,Full time »,Belgium,2-0,Yugoslavia,Referee: Erik Fredriksson (SWE)   – Stadium: Stade Félix-Bollaert, Lens (FRA) ,,,,,,,,,,,,,,,
10 === ,12 June 1984 ,Group 1   ,Full time »,France,1-0,Denmark,Referee: Volker Roth (GER)   – Stadium: Parc des Princes, Paris (FRA) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
15 === ,25 June 1988 ,Final,Full time »,USSR,0-2,Netherlands,Referee,not available, ,Stadium,:,Olympiastadion, ,Munich (GER) ,,,,,,,,,
9 === ,22 June 1988 ,Semi-finals,Full time »,USSR,2-0,Italy,Referee: Alexis Ponnet (BEL)   – Stadium: VfB Arena, Stuttgart (GER) ,,,,,,,,,,,,,,,
9 === ,21 June 1988 ,Semi-finals,Full time »,West Germany,1-2,Netherlands,Referee: Ioan Igna (ROU)   – Stadium: Volksparkstadion, Hamburg (GER) ,,,,,,,,,,,,,,,
15 === ,18 June 1988 ,Group 2   ,Full time »,England,1-3,USSR,Referee,José Rosa Dos Santos (POR)  ,Stadium,:,Waldstadion (old), ,Frankfurt am Main (GER) ,,,,,,,,,,
16 === ,18 June 1988 ,Group 2   ,Full time »,Republic of Ireland,0-1,Netherlands,Referee,not available, ,Stadium,:,Parkstadion, ,Gelsenkirchen (GER) ,,,,,,,,,
10 === ,17 June 1988 ,Group 1   ,Full time »,West Germany,2-0,Spain,Referee: Michel Vautrot (FRA)   – Stadium: Olympiastadion, Munich (GER) ,,,,,,,,,,,,,,,
10 === ,17 June 1988 ,Group 1   ,Full time »,Italy,2-0,Denmark,Referee: Bruno Galler (SUI)   – Stadium: Müngersdorfer Stadion, Cologne (GER) ,,,,,,,,,,,,,,,
15 === ,15 June 1988 ,Group 2   ,Full time »,England,1-3,Netherlands,Referee,Paolo Casarin (ITA)  ,Stadium,:,Rheinstadion, ,Dusseldorf (GER) ,,,,,,,,,,
16 === ,15 June 1988 ,Group 2   ,Full time »,Republic of Ireland,1-1,USSR,Referee,not available, ,Stadium,:,Hannover Arena, ,Hanover (GER) ,,,,,,,,,
16 === ,14 June 1988 ,Group 1   ,Full time »,West Germany,2-0,Denmark,Referee,not available, ,Stadium,:,Parkstadion, ,Gelsenkirchen (GER) ,,,,,,,,,
15 === ,14 June 1988 ,Group 1   ,Full time »,Italy,1-0,Spain,Referee,Erik Fredriksson (SWE)  ,Stadium,:,Waldstadion (old), ,Frankfurt am Main (GER) ,,,,,,,,,,
16 === ,12 June 1988 ,Group 2   ,Full time »,England,0-1,Republic of Ireland,Referee,not available, ,Stadium,:,VfB Arena, ,Stuttgart (GER) ,,,,,,,,,
15 === ,12 June 1988 ,Group 2   ,Full time »,Netherlands,0-1,USSR,Referee,Dieter Pauly (GER)  ,Stadium,:,Müngersdorfer Stadion, ,Cologne (GER) ,,,,,,,,,,
10 === ,11 June 1988 ,Group 1   ,Full time »,Denmark,2-3,Spain,Referee: Bep Thomas (NED)   – Stadium: Hannover Arena, Hanover (GER) ,,,,,,,,,,,,,,,
10 === ,10 June 1988 ,Group 1   ,Full time »,West Germany,1-1,Italy,Referee: Keith Hackett (ENG)   – Stadium: Rheinstadion, Dusseldorf (GER) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9 === ,26 June 1992 ,Final,Full time »,Denmark,2-0,Germany,Referee: Bruno Galler (SUI)   – Stadium: Ullevi, Gothenburg (SWE) ,,,,,,,,,,,,,,,
11 === ,22 June 1992 ,Semi-finals,Full time »,Netherlands,2-2,Denmark,Denmark win  5-4  on penalties, ,Referee: S. Aladran (ESP)   – Stadium: Ullevi, Gothenburg (SWE) ,,,,,,,,,,,,,
11 === ,21 June 1992 ,Semi-finals,Full time »,Sweden,2-3,Germany,Referee: ,not available,  – Stadium: Råsundastadion, Solna (SWE) ,,,,,,,,,,,,,
15 === ,18 June 1992 ,Group 2   ,Full time »,Netherlands,3-1,Germany,Referee,Pierluigi Pairetto (ITA)  ,Stadium,:,Ullevi, ,Gothenburg (SWE) ,,,,,,,,,,
16 === ,18 June 1992 ,Group 2   ,Full time »,Scotland,3-0,Commonwealth of Independent States,Referee,not available, ,Stadium,:,Norrköpings Idrottsparken, ,Norrkoping (SWE) ,,,,,,,,,
10 === ,17 June 1992 ,Group 1   ,Full time »,Sweden,2-1,England,Referee: José Rosa Dos Santos (POR)   – Stadium: Råsundastadion, Solna (SWE) ,,,,,,,,,,,,,,,
10 === ,17 June 1992 ,Group 1   ,Full time »,France,1-2,Denmark,Referee: Hubert Forstinger (AUT)   – Stadium: Malmö Idrottsplats, Malmo (SWE) ,,,,,,,,,,,,,,,
15 === ,15 June 1992 ,Group 2   ,Full time »,Scotland,0-2,Germany,Referee,Guy Goethals (BEL)  ,Stadium,:,Norrköpings Idrottsparken, ,Norrkoping (SWE) ,,,,,,,,,,
16 === ,15 June 1992 ,Group 2   ,Full time »,Netherlands,0-0,Commonwealth of Independent States,Referee,not available, ,Stadium,:,Ullevi, ,Gothenburg (SWE) ,,,,,,,,,
10 === ,14 June 1992 ,Group 1   ,Full time »,France,0-0,England,Referee: Sándor Puhl (HUN)   – Stadium: Malmö Idrottsplats, Malmo (SWE) ,,,,,,,,,,,,,,,
10 === ,14 June 1992 ,Group 1   ,Full time »,Sweden,1-0,Denmark,Referee: Aron Schmidhuber (GER)   – Stadium: Råsundastadion, Solna (SWE) ,,,,,,,,,,,,,,,
15 === ,12 June 1992 ,Group 2   ,Full time »,Netherlands,1-0,Scotland,Referee,Bo Karlsson (SWE)  ,Stadium,:,Ullevi, ,Gothenburg (SWE) ,,,,,,,,,,
16 === ,12 June 1992 ,Group 2   ,Full time »,Commonwealth of Independent States,1-1,Germany,Referee,not available, ,Stadium,:,Norrköpings Idrottsparken, ,Norrkoping (SWE) ,,,,,,,,,
10 === ,11 June 1992 ,Group 1   ,Full time »,Denmark,0-0,England,Referee: John Blankenstein (NED)   – Stadium: Malmö Idrottsplats, Malmo (SWE) ,,,,,,,,,,,,,,,
10 === ,10 June 1992 ,Group 1   ,Full time »,Sweden,1-1,France,Referee: Aleksei Spirin (RUS)   – Stadium: Råsundastadion, Solna (SWE) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11 === ,30 June 1996 ,Final,Full time »,Czech Republic,1-2,Germany,Germany win via 'Golden Goal' , ,Referee: Pierluigi Pairetto (ITA)   – Stadium: Wembley, London (ENG) ,,,,,,,,,,,,,
11 === ,26 June 1996 ,Semi-finals,Full time »,France,0-0,Czech Republic,Czech Republic win  6-5  on penalties, ,Referee: Leslie William Mottram (SCO)   – Stadium: Old Trafford, Manchester (ENG) ,,,,,,,,,,,,,
11 === ,26 June 1996 ,Semi-finals,Full time »,Germany,1-1,England,Germany win  6-5  on penalties, ,Referee: Sándor Puhl (HUN)   – Stadium: Wembley, London (ENG) ,,,,,,,,,,,,,
9 === ,23 June 1996 ,Quarter-finals,Full time »,Germany,2-1,Croatia,Referee: Leif Sundell (SWE)   – Stadium: Old Trafford, Manchester (ENG) ,,,,,,,,,,,,,,,
9 === ,23 June 1996 ,Quarter-finals,Full time »,Czech Republic,1-0,Portugal,Referee: Helmut Krug (GER)   – Stadium: Villa Park, Birmingham (ENG) ,,,,,,,,,,,,,,,
11 === ,22 June 1996 ,Quarter-finals,Full time »,Spain,0-0,England,England win  4-2  on penalties, ,Referee: Marc Batta (FRA)   – Stadium: Wembley, London (ENG) ,,,,,,,,,,,,,
11 === ,22 June 1996 ,Quarter-finals,Full time »,France,0-0,Netherlands,France win  5-4  on penalties, ,Referee: Antonio Jesus Lopez Nieto (ESP)   – Stadium: Anfield, Liverpool (ENG) ,,,,,,,,,,,,,
10 === ,19 June 1996 ,Group C,Full time »,Russia,3-3,Czech Republic,Referee: Anders Frisk (SWE)   – Stadium: Anfield, Liverpool (ENG) ,,,,,,,,,,,,,,,
10 === ,19 June 1996 ,Group C,Full time »,Italy,0-0,Germany,Referee: Guy Goethals (BEL)   – Stadium: Old Trafford, Manchester (ENG) ,,,,,,,,,,,,,,,
10 === ,19 June 1996 ,Group D,Full time »,Croatia,0-3,Portugal,Referee: Bernd Heynemann (GER)   – Stadium: City Ground, Nottingham (ENG) ,,,,,,,,,,,,,,,
10 === ,19 June 1996 ,Group D,Full time »,Turkey,0-3,Denmark,Referee: Nikolay Levnikov (RUS)   – Stadium: Hillsborough Stadium, Sheffield (ENG) ,,,,,,,,,,,,,,,
10 === ,18 June 1996 ,Group A,Full time »,Scotland,1-0,Switzerland,Referee: Vaclav Krondl (CZE)   – Stadium: Villa Park, Birmingham (ENG) ,,,,,,,,,,,,,,,
10 === ,18 June 1996 ,Group A,Full time »,Netherlands,1-4,England,Referee: Gerd Grabher (AUT)   – Stadium: Wembley, London (ENG) ,,,,,,,,,,,,,,,
10 === ,18 June 1996 ,Group B,Full time »,France,3-1,Bulgaria,Referee: Dermot Gallagher (ENG)   – Stadium: St James' Park, Newcastle (ENG) ,,,,,,,,,,,,,,,
10 === ,18 June 1996 ,Group B,Full time »,Romania,1-2,Spain,Referee: Ahmet Cakar (TUR)   – Stadium: Elland Road, Leeds (ENG) ,,,,,,,,,,,,,,,
10 === ,16 June 1996 ,Group C,Full time »,Russia,0-3,Germany,Referee: Kim Milton Nielsen (DEN)   – Stadium: Old Trafford, Manchester (ENG) ,,,,,,,,,,,,,,,
10 === ,16 June 1996 ,Group D,Full time »,Croatia,3-0,Denmark,Referee: Marc Batta (FRA)   – Stadium: Hillsborough Stadium, Sheffield (ENG) ,,,,,,,,,,,,,,,
10 === ,15 June 1996 ,Group A,Full time »,Scotland,0-2,England,Referee: Pierluigi Pairetto (ITA)   – Stadium: Wembley, London (ENG) ,,,,,,,,,,,,,,,
10 === ,15 June 1996 ,Group B,Full time »,France,1-1,Spain,Referee: Vadim Zhuk (BLR)   – Stadium: Elland Road, Leeds (ENG) ,,,,,,,,,,,,,,,
10 === ,14 June 1996 ,Group C,Full time »,Czech Republic,2-1,Italy,Referee: Antonio Jesus Lopez Nieto (ESP)   – Stadium: Anfield, Liverpool (ENG) ,,,,,,,,,,,,,,,
10 === ,14 June 1996 ,Group D,Full time »,Portugal,1-0,Turkey,Referee: Sándor Puhl (HUN)   – Stadium: City Ground, Nottingham (ENG) ,,,,,,,,,,,,,,,
15 === ,13 June 1996 ,Group A,Full time »,Switzerland,0-2,Netherlands,Referee,Atanas Ouzounov (BUL)  ,Stadium,:,Villa Park, ,Birmingham (ENG) ,,,,,,,,,,
16 === ,13 June 1996 ,Group B,Full time »,Bulgaria,1-0,Romania,Referee,not available, ,Stadium,:,St James' Park, ,Newcastle (ENG) ,,,,,,,,,
10 === ,11 June 1996 ,Group C,Full time »,Italy,2-1,Russia,Referee: Leslie William Mottram (SCO)   – Stadium: Anfield, Liverpool (ENG) ,,,,,,,,,,,,,,,
10 === ,11 June 1996 ,Group D,Full time »,Turkey,0-1,Croatia,Referee: Serge Muhmenthaler (SUI)   – Stadium: City Ground, Nottingham (ENG) ,,,,,,,,,,,,,,,
10 === ,10 June 1996 ,Group A,Full time »,Netherlands,0-0,Scotland,Referee: Leif Sundell (SWE)   – Stadium: Villa Park, Birmingham (ENG) ,,,,,,,,,,,,,,,
10 === ,10 June 1996 ,Group B,Full time »,Romania,0-1,France,Referee: Helmut Krug (GER)   – Stadium: St James' Park, Newcastle (ENG) ,,,,,,,,,,,,,,,
10 === ,9 June 1996 ,Group B,Full time »,Spain,1-1,Bulgaria,Referee: Piero Ceccarini (ITA)   – Stadium: Elland Road, Leeds (ENG) ,,,,,,,,,,,,,,,
10 === ,9 June 1996 ,Group C,Full time »,Germany,2-0,Czech Republic,Referee: David R. Elleray (ENG)   – Stadium: Old Trafford, Manchester (ENG) ,,,,,,,,,,,,,,,
10 === ,9 June 1996 ,Group D,Full time »,Denmark,1-1,Portugal,Referee: Mario van der Ende (NED)   – Stadium: Hillsborough Stadium, Sheffield (ENG) ,,,,,,,,,,,,,,,
10 === ,8 June 1996 ,Group A,Full time »,England,1-1,Switzerland,Referee: Manuel Diaz Vega (ESP)   – Stadium: Wembley, London (ENG) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
18 === ,2 July 2000 ,Final,Full time »,France,2-1,Italy,France win via 'Golden Goal' , , ,Referee,not available, ,Stadium,:,Feijenoord Stadion, ,Rotterdam (NED) ,,,,,,
11 === ,29 June 2000 ,Semi-finals,Full time »,Italy,0-0,Netherlands,Italy win  3-1  on penalties, ,Referee: Markus Merk (GER)   – Stadium: Amsterdam ArenA, Amsterdam (NED) ,,,,,,,,,,,,,
11 === ,28 June 2000 ,Semi-finals,Full time »,France,2-1,Portugal,France win after extra time , ,Referee: Günter Benkö (AUT)   – Stadium: King Baudouin Stadium, Brussels (BEL) ,,,,,,,,,,,,,
9 === ,25 June 2000 ,Quarter-finals,Full time »,Netherlands,6-1,Yugoslavia,Referee: José María García-Aranda (ESP)   – Stadium: Feijenoord Stadion, Rotterdam (NED) ,,,,,,,,,,,,,,,
9 === ,25 June 2000 ,Quarter-finals,Full time »,Spain,1-2,France,Referee: Pierluigi Collina (ITA)   – Stadium: Jan Breydelstadion, Bruges (BEL) ,,,,,,,,,,,,,,,
9 === ,24 June 2000 ,Quarter-finals,Full time »,Turkey,0-2,Portugal,Referee: Dick Z.G. Jol (NED)   – Stadium: Amsterdam ArenA, Amsterdam (NED) ,,,,,,,,,,,,,,,
9 === ,24 June 2000 ,Quarter-finals,Full time »,Italy,2-0,Romania,Referee: Vítor Melo Pereira (POR)   – Stadium: King Baudouin Stadium, Brussels (BEL) ,,,,,,,,,,,,,,,
15 === ,21 June 2000 ,Group C   ,Full time »,Yugoslavia,3-4,Spain,Referee,Gilles Veissiere (FRA)  ,Stadium,:,Jan Breydelstadion, ,Bruges (BEL) ,,,,,,,,,,
16 === ,21 June 2000 ,Group C   ,Full time »,Slovenia,0-0,Norway,Referee,not available, ,Stadium,:,Gelredome, ,Arnhem (NED) ,,,,,,,,,
15 === ,21 June 2000 ,Group D   ,Full time »,Denmark,0-2,Czech Republic,Referee,Gamal El Ghandour (EGY)  ,Stadium,:,Stade Maurice Dufrasne, ,Liege (BEL) ,,,,,,,,,,
15 === ,21 June 2000 ,Group D   ,Full time »,France,2-3,Netherlands,Referee,Anders Frisk (SWE)  ,Stadium,:,Amsterdam ArenA, ,Amsterdam (NED) ,,,,,,,,,,
10 === ,20 June 2000 ,Group A   ,Full time »,England,2-3,Romania,Referee: Urs Meier (SUI)   – Stadium: Pays de Charleroi, Charleroi (BEL) ,,,,,,,,,,,,,,,
10 === ,20 June 2000 ,Group A   ,Full time »,Portugal,3-0,Germany,Referee: Dick Z.G. Jol (NED)   – Stadium: Feijenoord Stadion, Rotterdam (NED) ,,,,,,,,,,,,,,,
16 === ,19 June 2000 ,Group B   ,Full time »,Turkey,2-0,Belgium,Referee,not available, ,Stadium,:,King Baudouin Stadium, ,Brussels (BEL) ,,,,,,,,,
15 === ,19 June 2000 ,Group B   ,Full time »,Italy,2-1,Sweden,Referee,Vítor Melo Pereira (POR)  ,Stadium,:,PSV Stadion, ,Eindhoven (NED) ,,,,,,,,,,
16 === ,18 June 2000 ,Group C   ,Full time »,Slovenia,1-2,Spain,Referee,not available, ,Stadium,:,Amsterdam ArenA, ,Amsterdam (NED) ,,,,,,,,,
16 === ,18 June 2000 ,Group C   ,Full time »,Norway,0-1,Yugoslavia,Referee,not available, ,Stadium,:,Stade Maurice Dufrasne, ,Liege (BEL) ,,,,,,,,,
10 === ,17 June 2000 ,Group A   ,Full time »,Romania,0-1,Portugal,Referee: Gilles Veissiere (FRA)   – Stadium: Gelredome, Arnhem (NED) ,,,,,,,,,,,,,,,
10 === ,17 June 2000 ,Group A   ,Full time »,England,1-0,Germany,Referee: Pierluigi Collina (ITA)   – Stadium: Pays de Charleroi, Charleroi (BEL) ,,,,,,,,,,,,,,,
10 === ,16 June 2000 ,Group D   ,Full time »,Czech Republic,1-2,France,Referee: Graham Poll (ENG)   – Stadium: Jan Breydelstadion, Bruges (BEL) ,,,,,,,,,,,,,,,
10 === ,16 June 2000 ,Group D   ,Full time »,Denmark,0-3,Netherlands,Referee: Urs Meier (SUI)   – Stadium: Feijenoord Stadion, Rotterdam (NED) ,,,,,,,,,,,,,,,
10 === ,15 June 2000 ,Group B   ,Full time »,Sweden,0-0,Turkey,Referee: Dick Z.G. Jol (NED)   – Stadium: PSV Stadion, Eindhoven (NED) ,,,,,,,,,,,,,,,
16 === ,14 June 2000 ,Group B   ,Full time »,Italy,2-0,Belgium,Referee,not available, ,Stadium,:,King Baudouin Stadium, ,Brussels (BEL) ,,,,,,,,,
16 === ,13 June 2000 ,Group C   ,Full time »,Spain,0-1,Norway,Referee,not available, ,Stadium,:,Feijenoord Stadion, ,Rotterdam (NED) ,,,,,,,,,
16 === ,13 June 2000 ,Group C   ,Full time »,Yugoslavia,3-3,Slovenia,Referee,not available, ,Stadium,:,Pays de Charleroi, ,Charleroi (BEL) ,,,,,,,,,
10 === ,12 June 2000 ,Group A   ,Full time »,Germany,1-1,Romania,Referee: Kim Milton Nielsen (DEN)   – Stadium: Stade Maurice Dufrasne, Liege (BEL) ,,,,,,,,,,,,,,,
10 === ,12 June 2000 ,Group A   ,Full time »,Portugal,3-2,England,Referee: Anders Frisk (SWE)   – Stadium: PSV Stadion, Eindhoven (NED) ,,,,,,,,,,,,,,,
10 === ,11 June 2000 ,Group B   ,Full time »,Turkey,1-2,Italy,Referee: Hugh Dallas (SCO)   – Stadium: Gelredome, Arnhem (NED) ,,,,,,,,,,,,,,,
10 === ,11 June 2000 ,Group D   ,Full time »,France,3-0,Denmark,Referee: Günter Benkö (AUT)   – Stadium: Jan Breydelstadion, Bruges (BEL) ,,,,,,,,,,,,,,,
10 === ,11 June 2000 ,Group D   ,Full time »,Netherlands,1-0,Czech Republic,Referee: Pierluigi Collina (ITA)   – Stadium: Amsterdam ArenA, Amsterdam (NED) ,,,,,,,,,,,,,,,
16 === ,10 June 2000 ,Group B   ,Full time »,Belgium,2-1,Sweden,Referee,not available, ,Stadium,:,King Baudouin Stadium, ,Brussels (BEL) ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9 === ,4 July 2004 ,Final,Full time »,Portugal,0-1,Greece,Referee: Markus Merk (GER)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,,,
11 === ,1 July 2004 ,Semi-finals,Full time »,Greece,1-0,Czech Republic,Greece win on silver goal , ,Referee: Pierluigi Collina (ITA)   – Stadium: Estádio do Dragão, Porto (POR) ,,,,,,,,,,,,,
9 === ,30 June 2004 ,Semi-finals,Full time »,Portugal,2-1,Netherlands,Referee: Anders Frisk (SWE)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
9 === ,27 June 2004 ,Quarter-finals,Full time »,Czech Republic,3-0,Denmark,Referee: Valentin Ivanov (RUS)   – Stadium: Estádio do Dragão, Porto (POR) ,,,,,,,,,,,,,,,
20 === ,26 June 2004 ,Quarter-finals,Full time »,Sweden,0-0,Netherlands,Netherlands win  5-4  on penalties, ,(,4-5p,) ,Referee,not available, ,Stadium,:,Estádio Algarve, ,Faro-Loule (POR) ,,,,
19 === ,26 June 2004 ,Quarter-finals,Full time »,Sweden,0-0,Netherlands,Netherlands win  5-4  on penalties, ,(,4-5p,) ,Referee,Ľuboš Michel (SVK)  ,Stadium,:,Estádio Algarve, ,Faro-Loule (POR) ,,,,,
9 === ,25 June 2004 ,Quarter-finals,Full time »,France,0-1,Greece,Referee: Anders Frisk (SWE)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
11 === ,24 June 2004 ,Quarter-finals,Full time »,Portugal,2-2,England,Portugal win  6-5  on penalties, ,Referee: Urs Meier (SUI)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,
10 === ,23 June 2004 ,Group D   ,Full time »,Netherlands,3-0,Latvia,Referee: Kim Milton Nielsen (DEN)   – Stadium: Estádio Municipal de Braga, Braga (POR) ,,,,,,,,,,,,,,,
10 === ,23 June 2004 ,Group D   ,Full time »,Germany,1-2,Czech Republic,Referee: Terje Hauge (NOR)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,22 June 2004 ,Group C   ,Full time »,Italy,2-1,Bulgaria,Referee: Valentin Ivanov (RUS)   – Stadium: Estádio D. Afonso Henriques, Guimaraes (POR) ,,,,,,,,,,,,,,,
10 === ,22 June 2004 ,Group C   ,Full time »,Denmark,2-2,Sweden,Referee: Markus Merk (GER)   – Stadium: Bessa XXI, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,21 June 2004 ,Group B   ,Full time »,Switzerland,1-3,France,Referee: Ľuboš Michel (SVK)   – Stadium: Cidade de Coimbra, Coimbra (POR) ,,,,,,,,,,,,,,,
10 === ,21 June 2004 ,Group B   ,Full time »,Croatia,2-4,England,Referee: Pierluigi Collina (ITA)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,20 June 2004 ,Group A   ,Full time »,Spain,0-1,Portugal,Referee: Anders Frisk (SWE)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,20 June 2004 ,Group A   ,Full time »,Russia,2-1,Greece,Referee: Gilles Veissiere (FRA)   – Stadium: Estádio Algarve, Faro-Loule (POR) ,,,,,,,,,,,,,,,
10 === ,19 June 2004 ,Group D   ,Full time »,Latvia,0-0,Germany,Referee: Mike Riley (ENG)   – Stadium: Bessa XXI, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,19 June 2004 ,Group D   ,Full time »,Netherlands,2-3,Czech Republic,Referee: Manuel Mejuto González (ESP)   – Stadium: Municipal, Aveiro (POR) ,,,,,,,,,,,,,,,
10 === ,18 June 2004 ,Group C   ,Full time »,Bulgaria,0-2,Denmark,Referee: Lucilio Cardoso Cortez Batista (POR)   – Stadium: Estádio Municipal de Braga, Braga (POR) ,,,,,,,,,,,,,,,
10 === ,18 June 2004 ,Group C   ,Full time »,Italy,1-1,Sweden,Referee: Urs Meier (SUI)   – Stadium: Estádio do Dragão, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,17 June 2004 ,Group B   ,Full time »,England,3-0,Switzerland,Referee: Valentin Ivanov (RUS)   – Stadium: Cidade de Coimbra, Coimbra (POR) ,,,,,,,,,,,,,,,
10 === ,17 June 2004 ,Group B   ,Full time »,Croatia,2-2,France,Referee: Kim Milton Nielsen (DEN)   – Stadium: Dr. Magalhães Pessoa, Leiria (POR) ,,,,,,,,,,,,,,,
10 === ,16 June 2004 ,Group A   ,Full time »,Greece,1-1,Spain,Referee: Ľuboš Michel (SVK)   – Stadium: Bessa XXI, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,16 June 2004 ,Group A   ,Full time »,Russia,0-2,Portugal,Referee: Terje Hauge (NOR)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,15 June 2004 ,Group D   ,Full time »,Czech Republic,2-1,Latvia,Referee: Gilles Veissiere (FRA)   – Stadium: Municipal, Aveiro (POR) ,,,,,,,,,,,,,,,
10 === ,15 June 2004 ,Group D   ,Full time »,Germany,1-1,Netherlands,Referee: Anders Frisk (SWE)   – Stadium: Estádio do Dragão, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,14 June 2004 ,Group C   ,Full time »,Denmark,0-0,Italy,Referee: Manuel Mejuto González (ESP)   – Stadium: Estádio D. Afonso Henriques, Guimaraes (POR) ,,,,,,,,,,,,,,,
10 === ,14 June 2004 ,Group C   ,Full time »,Sweden,5-0,Bulgaria,Referee: Mike Riley (ENG)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,13 June 2004 ,Group B   ,Full time »,Switzerland,0-0,Croatia,Referee: Lucilio Cardoso Cortez Batista (POR)   – Stadium: Dr. Magalhães Pessoa, Leiria (POR) ,,,,,,,,,,,,,,,
10 === ,13 June 2004 ,Group B   ,Full time »,France,2-1,England,Referee: Markus Merk (GER)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9 === ,29 June 2008 ,Final,Full time »,Germany,0-1,Spain,Referee: Roberto Rosetti (ITA)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,,,
9 === ,26 June 2008 ,Semi-finals,Full time »,Russia,0-3,Spain,Referee: Frank De Bleeckere (BEL)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,,,
9 === ,25 June 2008 ,Semi-finals,Full time »,Germany,3-2,Turkey,Referee: Massimo Busacca (SUI)   – Stadium: St. Jakob-Park, Basel (SUI) ,,,,,,,,,,,,,,,
11 === ,22 June 2008 ,Quarter-finals,Full time »,Spain,0-0,Italy,Spain win  4-2  on penalties, ,Referee: Herbert Fandel (GER)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,
